二人以上の世帯_支出金額[円],,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,,,,,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年
表側連番,階層,大分類,中分類,小分類,品目分類,(平成12年),(平成13年),(平成14年),(平成15年),(平成16年),(平成17年),(平成18年),(平成19年),(平成20年),(平成21年),(平成22年),(平成23年),(平成24年),(平成25年),(平成26年),(平成27年),(平成28年),(平成29年),(平成30年),(令和元年),(令和２年),(令和３年)
133,-,-,-,-,サービス,1311637,1281576,1299208,1292180,1315653,1320491,1295758,1331910,1314300,1312387,1299121,1270744,1294437,1310685,1311844,1315732,1301748,1307727,1328103,1357305,1181749,1218224
134,-,-,-,-,食料(財・サービス),973680,945571,939218,919666,914712,902003,891439,901601,905557,896128,884768,872850,879402,895860,913261,937712,947618,946438,952170,965536,962373,952812
135,-,-,-,-,非耐久財(食料),800250,779627,771414,758008,751362,740690,731764,736741,740664,734814,724538,718301,721733,730614,746523,768086,779550,777792,780600,788620,832647,827388
136,-,-,-,-,サービス(食料),173430,165943,167804,161659,163349,161312,159675,164860,164893,161314,160230,154549,157668,165246,166737,169626,168067,168646,171571,176917,129726,125423
137,-,-,-,-,住居(財・サービス),246334,236217,239593,240454,230797,231145,217444,215332,202858,204356,218300,226547,218888,219354,215349,215278,200182,198771,203041,205235,208488,220051
138,-,-,-,-,耐久財(住居),18842,16663,22313,25444,23161,24328,24501,24716,24434,21646,23069,30871,28918,30517,29125,27309,30329,26806,27343,28047,31787,33694
139,-,-,-,-,半耐久財(住居),4200,4761,6075,7122,7679,6137,7923,5960,6421,4443,4879,5351,4325,5570,4846,4255,3922,4169,4570,5075,5318,5653
140,-,-,-,-,サービス(住居),223293,214793,211205,207887,199957,200680,185020,184656,172003,178267,190353,190325,185645,183267,181378,183714,165931,167796,171128,172112,171383,180704
141,-,-,-,-,家具・家事用品(財・サービス),139148,141453,132398,129177,124814,125104,121201,120865,124285,124173,126895,124775,125361,127189,131744,128729,127355,129948,133127,140598,152497,145207
142,-,-,-,-,耐久財(家具・家事用品),54766,59009,52549,50013,48449,49646,46704,45428,47220,47867,51353,46825,47322,49667,51624,48811,47094,48979,50849,54926,59335,54616
143,-,-,-,-,半耐久財(家具・家事用品),45262,43847,42072,40891,38648,38949,37243,37777,37996,36680,36220,37979,38664,36987,37881,38361,37040,37308,38158,38829,40379,40017
144,-,-,-,-,非耐久財(家具・家事用品),26829,26140,26082,27032,25939,25667,26149,26877,27668,28222,27854,28859,28835,29916,31543,31624,33192,33535,34266,36593,42119,40683
145,-,-,-,-,サービス(家具・家事用品),12292,12457,11696,11241,11778,10842,11104,10784,11401,11403,11468,11112,10539,10618,10694,9932,10028,10125,9854,10250,10663,9892
146,-,-,-,-,被服及び履物(財・サービス),206742,192605,185982,177083,171777,169921,163107,164874,159505,152923,146350,144723,145775,149555,152642,144985,138068,137673,136613,135677,110097,108751
147,-,-,-,-,半耐久財(被服及び履物),191760,179137,172462,164731,159553,158182,151840,153644,148385,142605,136434,135307,136109,140542,143374,136139,129178,129119,128167,127307,103400,102551
148,-,-,-,-,サービス(被服及び履物),14982,13468,13520,12353,12225,11739,11267,11231,11119,10318,9916,9416,9666,9014,9267,8846,8890,8554,8446,8369,6697,6200
149,-,-,-,-,保健医療(財・サービス),137732,140785,140675,150593,148002,157447,154845,158546,152940,157544,151227,153643,154390,154196,155354,153126,155705,155449,159937,168124,171554,171768
150,-,-,-,-,耐久財(保健医療),11677,10469,9672,10510,10618,11147,10627,10372,10247,9902,9920,9949,9638,10013,10388,9273,9633,9853,10213,11458,10241,10372
151,-,-,-,-,半耐久財(保健医療),5962,5331,5011,5593,5256,5468,4876,4775,5490,4987,5306,4677,5567,5393,5842,4857,4642,4917,5015,5651,5463,6169
152,-,-,-,-,非耐久財(保健医療),43304,45957,45628,48261,47727,49838,45725,45058,45468,50365,52842,53182,53837,53959,53317,54082,55440,55804,55077,57449,66817,61935
153,-,-,-,-,サービス(保健医療),76790,79029,80363,86230,84402,90994,93617,98340,91736,92290,83159,85834,85348,84830,85807,84915,85989,84875,89633,93565,89034,93293
